uid,brand,url,price,currency,image_url,collection,reference_code,life_span_date,life_span,price_eur,year,quarter,price_category,year_quarter
797657,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01115-luminor-marina---44mm.html,28400,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/30/73/2/2230732.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/30/73/2/2230732.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01115,2021-11-30,Q4 November 2021,27229.146692233942,2021,4,High End,2021Q4
797658,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam00742-luminor-perpetual-calendar-goldtech.html,46000,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/57/9/2148579.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/57/9/2148579.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM00742,2021-11-30,Q4 November 2021,44103.54745925216,2021,4,High End,2021Q4
797659,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam00715-luminor-perpetual-calendar-platinumtech.html,66800,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/64/65/8/2164658.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/64/65/8/2164658.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM00715,2021-11-30,Q4 November 2021,64046.02109300096,2021,4,Ultra Luxury,2021Q4
797660,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01135-luminor-chrono-monopulsante-8-giorni-gmt-blu-notte.html,22400,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/48/53/6/2148536.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/48/53/6/2148536.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01135,2021-11-30,Q4 November 2021,21476.510067114097,2021,4,Mid Range,2021Q4
797661,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01116-luminor-marina-platinumtech---44mm.html,39000,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/33/35/9/2133359.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/33/35/9/2133359.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01116,2021-11-30,Q4 November 2021,37392.138063279,2021,4,High End,2021Q4
797662,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01122-luminor-marina-44mm---guillaume-nery-edition.html,19300,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/28/65/2/2128652.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/28/65/2/2128652.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01122,2021-11-30,Q4 November 2021,18504.31447746884,2021,4,Mid Range,2021Q4
797663,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01075-luminor-left-handed---47mm.html,9700,CHF,"https://www.panerai.com/content/dam/rcq/pan/21/16/47/0/2116470.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/21/16/47/0/2116470.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01075,2021-11-30,Q4 November 2021,9300.095877277086,2021,4,Entry Level,2021Q4
797664,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01112-luminor-marina-goldtech---44mm.html,23800,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/35/33/2/2035332.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/35/33/2/2035332.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01112,2021-11-30,Q4 November 2021,22818.791946308727,2021,4,Mid Range,2021Q4
797665,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01316-luminor-marina--specchio-blu---44mm.html,8800,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/67/63/6/2067636.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01316,2021-11-30,Q4 November 2021,8437.200383509109,2021,4,Entry Level,2021Q4
797666,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01314-luminor-marina---44mm.html,8000,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/66/83/2/2066832.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01314,2021-11-30,Q4 November 2021,7670.182166826463,2021,4,Entry Level,2021Q4
